Time,Cell-1,Cell-2,Cell-3,Cell-4,Cell-5,Cell-6,Cell-7,Cell-8,Cell-9,Cell-10,Cell-11,Cell-12,Cell-13,Cell-14,Cell-15,Cell-16,Cell-17,Cell-18,Cell-19,Cell-20,Cell-21,Cell-22,Cell-23,Cell-24,Cell-25,Cell-26,Cell-27,Cell-28,Cell-29,Cell-30,Cell-31,Cell-32
0,1.001216,1.002646,1.002209,0.991787,0.9935569,0.9961453,0.9964277,1.000677,0.9999106,1.004327,1.008659,1.007467,0.9875549,0.9941667,0.9931722,0.9918481,0.9973316,0.9976466,0.998294,0.9954924,1.002498,0.9986917,0.9987728,0.9988987,1.001945,0.9954534,1.002506,0.9957569,0.9852318,1.000745,0.9927866,0.9871355
0.1666667,0.9994997,0.9928106,0.9997658,0.9975348,1.001891,1.003979,1.009878,1.001505,1.001438,0.9938114,0.9791933,0.9925425,1.010644,1.002442,0.9980425,0.9974822,0.9976164,0.9881339,1.012225,1.013222,1.002234,1.002342,0.9963444,0.9969288,0.9990684,0.9973828,0.994458,0.9952635,0.993184,1.003006,0.997789,1.002811
0.3333333,0.9908362,0.9964057,0.9905094,0.9946743,0.9961497,0.9953369,0.9917276,1.000002,0.999735,1.004937,1.025066,1.007929,1.006272,1.00968,1.007445,1.007369,0.998009,0.9980346,0.992331,0.98914,1.000315,1.001466,0.9985501,0.9983435,0.9944611,0.9987581,0.9935282,0.9976221,1.001023,0.9998598,1.002921,0.998534
0.5,0.9991967,0.9972504,0.9972806,1.007425,1.006051,1.006239,1.003971,1.004684,0.997619,0.9971925,1.000834,0.9975954,1.005023,1.00078,0.9995486,1.001886,1.006476,1.007341,0.9959588,0.998437,0.9969226,0.995603,1.00203,1.006325,1.00367,1.005647,1.006554,1.006809,1.013999,0.996888,1.002606,1.003967
0.6666667,1.009345,1.010991,1.010359,1.008408,1.002213,0.9982496,0.9979655,0.993089,1.001299,0.9997435,0.9865567,0.9944269,0.9907017,0.9930816,1.001804,1.00143,1.000649,1.008841,1.00136,1.00407,0.9980916,1.001899,1.004299,0.9995825,1.000902,1.002834,1.003107,1.004656,1.007085,0.9995161,1.00391,1.007655
0.8333333,0.9941078,0.994083,0.999072,1.018123,1.011022,1.01394,1.008777,0.9916067,1.002531,0.9919835,0.9930975,1.001242,1.00258,1.011719,1.008219,1.009275,1.001841,0.9976196,1.000868,1.00131,0.9993777,1.00415,0.9984087,1.001619,1.000709,1.002236,1.000795,1.007329,1.012891,1.000025,1.002526,0.9998251
1,0.9891551,0.9940727,0.9892712,1.013736,1.00627,1.008292,1.003871,1.001209,1.003463,0.9993181,1.009009,1.002762,0.9991365,0.999292,1.002679,1.00037,1.011243,0.9986244,1.008688,1.016438,1.000116,1.002627,0.9974418,1.007266,1.002762,1.003663,1.005498,1.013324,1.029736,0.9978557,0.9934455,0.9966897
1.166667,0.995262,0.9991563,0.9916536,1.01957,1.009386,1.013444,1.012397,1.002883,1.003226,0.9965406,0.9961175,0.9968045,0.9830504,1.000038,1.008949,1.007345,1.019251,0.998963,0.9714673,0.980665,0.9987534,1.003522,0.9976545,1.006131,1.002444,1.005498,1.003656,1.013394,1.03252,0.9979929,1.007088,1.005137
1.333333,0.9891461,0.9900668,0.9880781,1.017822,1.009959,1.014293,1.005852,1.003377,1.005099,1.008956,1.022317,1.012501,1.011904,1.039818,1.013318,1.008127,1.019493,1.003905,0.9769061,0.9756426,0.9994678,1.004464,1.000811,1.004022,1.0009,1.005264,1.004156,1.01562,1.031041,0.9994158,1.010758,1.01559
1.5,1.007669,1.010097,1.01247,1.020588,1.012063,1.011717,1.019496,1.004262,1.005247,1.006107,1.022623,1.016507,1.000483,1.009897,1.016488,1.007902,1.020065,1.014745,0.9889287,0.989237,1.001743,1.006925,1.008453,0.9994996,0.9925792,1.002831,0.9939898,1.011562,1.034427,1.001424,1.016979,1.021798
1.666667,1.010524,1.012807,1.010254,1.021865,1.01232,1.011446,1.012371,0.9925242,1.00623,0.9868611,0.9739231,0.9846559,0.9751803,0.9929111,1.014078,1.006918,1.001278,0.9962112,1.016335,1.01764,0.9949033,1.001791,0.998216,1.007701,1.002337,1.003422,1.003214,1.015102,1.023911,0.9936152,1.008522,1.012658
1.833333,1.001704,0.9949892,0.9949538,1.014479,1.006677,1.006172,1.005237,1.003928,1.011472,1.016562,1.045502,1.012212,1.006073,1.020814,1.016233,1.00884,1.011863,0.9955599,0.9969912,0.9978697,1.001751,1.011226,0.9954764,1.004373,0.9976225,0.9972941,1.003562,1.016316,1.042721,1.002711,1.01041,1.032
2,1.000553,1.000976,0.9921311,1.006792,1.000001,0.9836773,0.9908759,1.04789,1.003216,0.9912003,0.9734252,0.9713711,0.9515865,0.9708831,0.9961488,0.9825976,1.016291,0.9802133,0.9836298,0.9783173,0.9821034,0.9972948,0.9853625,0.9819637,0.9571617,0.9961997,0.9538341,1.002746,1.007854,0.9862127,0.9721453,0.9722135
2.166667,1.010695,1.005661,0.996932,1.030332,1.027158,0.9962205,1.006659,1.057464,1.011126,0.989268,0.9640642,0.9593463,0.9637889,0.992675,0.999777,0.9877548,1.011143,0.9870145,0.9665964,0.96829,0.9798337,0.9938644,0.9798714,0.9806005,0.949802,0.9918662,0.9482272,1.002689,0.9603,0.9793868,0.9505944,0.9627833
2.333333,1.004567,0.9955832,0.9945331,1.039561,1.030901,1.002356,1.002708,1.057606,1.006391,1.0002,0.982788,0.9749768,0.967891,0.9831765,0.9993157,0.9907157,1.000945,0.9772772,0.928404,0.9295946,0.9671171,0.9909596,0.9622682,0.9807429,0.9460175,0.9803269,0.9451561,1.003227,0.914561,0.9670583,0.9307787,0.9558535
2.5,1.005553,0.9975236,0.9880638,1.023851,1.011862,0.9815795,0.9819044,1.041188,1.001532,0.9919347,0.9581094,0.9630121,0.9570718,0.968896,1.009757,1.004791,0.9786343,0.9839983,0.9547372,0.9566854,0.9597551,0.9910808,0.9587099,0.9714488,0.9237443,0.9579002,0.9199365,0.9949434,0.8718964,0.9533483,0.9168516,0.9526479
2.666667,1.016143,1.002526,0.9935828,1.017735,1.002178,0.9874315,0.9852773,1.031725,1.000377,0.9918034,0.9609147,0.97197,0.9660412,0.9679053,1.01114,1.008469,0.9727519,0.9771061,0.9784081,0.9709253,0.9528052,0.9921789,0.9472462,0.9639107,0.9103065,0.9470675,0.9131786,0.9913024,0.8601299,0.9464626,0.9066758,0.9453185
2.833333,1.026143,1.01321,1.002431,1.010036,0.9908996,0.9773257,0.9696664,1.02273,1.000401,0.9933953,0.9703213,0.9778916,0.9536828,0.9586019,1.018148,1.018157,0.9728248,0.9863691,0.9636729,0.9485887,0.9507921,0.9924436,0.9493252,0.969387,0.9098049,0.9442937,0.9094085,0.9889985,0.8550339,0.943367,0.9162456,0.9552513
3,1.020879,1.00062,0.9971741,1.01965,0.9990041,0.9743086,0.9735571,1.009289,1.000219,0.9766978,0.9480823,0.9707987,1.024333,1.018028,1.033586,1.030037,0.9703962,0.9774429,0.943076,0.9421309,0.9471861,0.9936373,0.9423049,0.9730927,0.9146793,0.9489762,0.914196,0.9910373,0.8532435,0.9424267,0.9089794,0.9513211
3.166667,1.033333,1.006876,1.003635,1.043629,1.013703,0.9748612,0.9860871,1.008024,1.008484,1.003289,0.9914517,0.9915606,0.9736702,0.9856445,1.043254,1.033786,0.9738064,0.996509,0.9713524,0.9640032,0.9578229,1.001349,0.9518681,0.9757761,0.9204726,0.9601558,0.917094,0.9916368,0.8593594,0.9488707,0.9142097,0.9534195
3.333333,1.019395,0.9893326,0.9869766,1.06861,1.042177,0.9876069,1.008146,1.006861,1.008052,1.00918,1.004548,0.9987907,0.975545,0.9954984,1.050349,1.031323,0.9787103,1.00929,0.9553019,0.9494116,0.9552113,0.9996368,0.9602794,0.9789267,0.9175724,0.9699739,0.9190124,0.9938453,0.8550097,0.9488491,0.9089028,0.9494448
3.5,1.038169,1.009474,1.008794,1.081819,1.060813,0.9839635,1.012922,1.002291,1.017878,1.018203,0.9882025,1.005091,0.97328,0.9953203,1.055089,1.03415,0.9805473,1.005085,0.9600291,0.955746,0.9626641,1.00505,0.9607663,0.9881737,0.931591,0.9842551,0.9231222,0.9948399,0.8667322,0.9584838,0.9158209,0.9632027
3.666667,1.030589,0.9951751,0.9983308,1.100128,1.082647,0.989854,1.025807,1.009831,1.020524,1.033863,1.028458,1.027895,0.9954661,1.007817,1.065211,1.039928,0.9930019,1.019953,0.9610825,0.9634038,0.9616036,1.002315,0.9669216,0.9924153,0.9408127,0.9963511,0.9342914,0.998429,0.8759091,0.9538901,0.919354,0.9647754
3.833333,1.024232,0.9885606,0.9857352,1.116056,1.097957,0.9993359,1.035211,1.020894,1.024247,1.032479,1.037623,1.037174,1.01087,1.014729,1.069035,1.038084,1.00178,1.031992,0.960406,0.9485927,0.9659454,1.003213,0.9769337,0.9888179,0.9412875,1.00462,0.9304425,0.996886,0.8899884,0.9552758,0.9256209,0.9635709
4,1.038719,1.009985,1.003595,1.133443,1.116354,1.013582,1.045858,1.036039,1.030767,1.039256,1.030952,1.039144,1.017609,1.016838,1.05952,1.028248,1.019848,1.030619,0.9533003,0.9467278,0.9698361,1.008329,0.9802185,0.9981973,0.9516252,1.016286,0.9456775,1.002978,0.9074535,0.9592925,0.9195542,0.9592522
4.166667,1.034389,0.9941726,0.9997227,1.147337,1.127676,1.03192,1.060628,1.028539,1.029622,1.046577,1.024792,1.04362,1.035535,1.033914,1.069262,1.033243,1.008786,1.023308,0.9504679,0.9520815,0.972256,1.002658,0.9791209,0.9917051,0.9479348,1.023709,0.9430275,1.001371,0.8981617,0.9561064,0.9303176,0.9701145
4.333334,1.032758,1.00829,1.000329,1.159551,1.140966,1.045213,1.070411,1.047555,1.03569,1.056424,1.038404,1.059533,1.050185,1.039589,1.071347,1.032475,1.02607,1.033362,0.9244303,0.93566,0.983103,1.007396,0.9865758,0.9938242,0.9543686,1.030123,0.9478822,1.002086,0.9194172,0.9625953,0.9317683,0.9647179
4.5,1.034936,1.001265,1.007115,1.179852,1.161549,1.070799,1.093176,1.051238,1.039386,1.066686,1.046244,1.067854,1.034343,1.030807,1.077119,1.034114,1.026301,1.046435,0.9500852,0.9465575,0.9878202,1.012047,0.994656,1.001314,0.9646797,1.040398,0.9593293,1.007588,0.9139188,0.9674997,0.9249396,0.9564682
4.666667,1.033465,0.9966652,0.9961253,1.186306,1.168536,1.073778,1.095725,1.043662,1.035187,1.067158,1.038079,1.061644,1.052487,1.042704,1.081875,1.037521,1.018345,1.036516,0.9571048,0.9622124,0.9837804,1.003779,0.989762,0.9963881,0.959437,1.038846,0.9571569,1.005506,0.9099886,0.9609485,0.9399337,0.9689384
